chr	internal_start	internal_end	Symbol	score	strand	Type
chr5	28524674	28624237	Rbm33	0	+	Long_Genes_without_Long_Intron
chr10	84594425	84742008	Rfx4	0	+	Long_Genes_without_Long_Intron
chr11	49918673	50016546	Rnf130	0	+	Long_Genes_without_Long_Intron
chrX	158041353	158151240	Rps6ka3	0	+	Long_Genes_without_Long_Intron
chr1	190505075	190641467	Rps6kc1	0	-	Long_Genes_without_Long_Intron
chr18	88992413	89149140	Rttn	0	+	Long_Genes_without_Long_Intron
chr5	8542266	8670452	Rundc3b	0	-	Long_Genes_without_Long_Intron
chr3	41581154	41694449	Sclt1	0	-	Long_Genes_without_Long_Intron
chr5	53264424	53368294	Sel1l3	0	-	Long_Genes_without_Long_Intron
chr16	55898330	56010375	Senp7	0	+	Long_Genes_without_Long_Intron
chr6	85190030	85307904	Sfxn5	0	-	Long_Genes_without_Long_Intron
chr19	58961927	59062032	Shtn1	0	-	Long_Genes_without_Long_Intron
chr6	6041218	6214673	Slc25a13	0	-	Long_Genes_without_Long_Intron
chr9	109963547	110069246	Smarcc1	0	+	Long_Genes_without_Long_Intron
chr17	71651483	71779838	Smchd1	0	-	Long_Genes_without_Long_Intron
chr8	46486297	46602696	Snx25	0	-	Long_Genes_without_Long_Intron
chr9	41876015	42033093	Sorl1	0	-	Long_Genes_without_Long_Intron
chr11	93889428	94016911	Spag9	0	+	Long_Genes_without_Long_Intron
chr4	111579680	111686339	Spata6	0	+	Long_Genes_without_Long_Intron
chr10	75050721	75148577	Specc1l	0	+	Long_Genes_without_Long_Intron
chrX	40883867	40998278	Thoc2	0	-	Long_Genes_without_Long_Intron
chr11	105074852	105173003	Tlk2	0	+	Long_Genes_without_Long_Intron
chr8	35293613	35430344	Tnks	0	-	Long_Genes_without_Long_Intron
chr1	84698909	84814525	Trip12	0	-	Long_Genes_without_Long_Intron
chr1	37799903	37901417	Tsga10	0	-	Long_Genes_without_Long_Intron
chr2	94131111	94234534	Ttc17	0	-	Long_Genes_without_Long_Intron
chr4	83138536	83239992	Ttc39b	0	-	Long_Genes_without_Long_Intron
chr12	100267083	100484450	Ttc7b	0	-	Long_Genes_without_Long_Intron
chr5	29776739	29881090	Ube3c	0	+	Long_Genes_without_Long_Intron
chr2	120690749	120798696	Ubr1	0	-	Long_Genes_without_Long_Intron
chr2	69730089	69854357	Ubr3	0	+	Long_Genes_without_Long_Intron
chr4	139110469	139216899	Ubr4	0	+	Long_Genes_without_Long_Intron
chr1	36179107	36280886	Uggt1	0	-	Long_Genes_without_Long_Intron
chr2	5958779	6061514	Upf2	0	+	Long_Genes_without_Long_Intron
chr4	106175930	106298519	Usp24	0	+	Long_Genes_without_Long_Intron
chr16	76813093	76913668	Usp25	0	+	Long_Genes_without_Long_Intron
chr11	23259415	23439744	Usp34	0	+	Long_Genes_without_Long_Intron
chrX	12940252	13039567	Usp9x	0	+	Long_Genes_without_Long_Intron
chr8	111347730	111447030	Vac14	0	+	Long_Genes_without_Long_Intron
chr17	78817992	78934827	Vit	0	+	Long_Genes_without_Long_Intron
chr19	16593049	16755791	Vps13a	0	-	Long_Genes_without_Long_Intron
chr7	118341948	118442189	Vps35l	0	+	Long_Genes_without_Long_Intron
chr6	3500881	3603531	Vps50	0	+	Long_Genes_without_Long_Intron
chr11	75937051	76067973	Vps53	0	-	Long_Genes_without_Long_Intron
chr6	125532410	125663642	Vwf	0	+	Long_Genes_without_Long_Intron
chrX	149983573	150098182	Wnk3	0	+	Long_Genes_without_Long_Intron
chr4	19608302	19706493	Wwp1	0	-	Long_Genes_without_Long_Intron
chr8	108165496	108285227	Wwp2	0	+	Long_Genes_without_Long_Intron
chr4	126755731	126859428	Zmym4	0	-	Long_Genes_without_Long_Intron
chr11	72689579	72817944	Zzef1	0	+	Long_Genes_without_Long_Intron
chr5	113234188	113366602	2900026A02Rik	0	-	Non_Target_Long_Genes
chr5	139345493	139443757	3110082I17Rik	0	-	Non_Target_Long_Genes
chr16	8333792	8439432	Abat	0	+	Non_Target_Long_Genes
chrX	103324262	103454952	Abcb7	0	-	Non_Target_Long_Genes
chr18	61932465	62042395	Ablim3	0	-	Non_Target_Long_Genes
chr11	76307559	76511884	Abr	0	-	Non_Target_Long_Genes
chr1	155436367	155567076	Acbd6	0	+	Non_Target_Long_Genes
chr12	88329917	88428490	Adck1	0	+	Non_Target_Long_Genes
chr19	53134927	53235830	Add3	0	+	Non_Target_Long_Genes
chr17	57668190	57790527	Adgre1	0	+	Non_Target_Long_Genes
chr3	151146023	151250723	Adgrl4	0	+	Non_Target_Long_Genes
chrX	68406399	68911643	Aff2	0	+	Non_Target_Long_Genes
chr10	42188580	42352061	Afg1l	0	-	Non_Target_Long_Genes
chr3	37476544	37633245	Afg2a	0	+	Non_Target_Long_Genes
chr10	25046019	25172562	Akap7	0	-	Non_Target_Long_Genes
chrX	141634141	141747224	Ammecr1	0	-	Non_Target_Long_Genes
chr15	42288118	42537873	Angpt1	0	-	Non_Target_Long_Genes
chr17	66272692	66381568	Ankrd12	0	-	Non_Target_Long_Genes
chr6	87110834	87310246	Antxr1	0	-	Non_Target_Long_Genes
chr8	77976994	78242082	Arhgap10	0	-	Non_Target_Long_Genes
chr18	6025196	6133460	Arhgap12	0	-	Non_Target_Long_Genes
chr17	68149707	68308615	Arhgap28	0	-	Non_Target_Long_Genes
chr7	16227643	16346418	Arhgap35	0	-	Non_Target_Long_Genes
chr9	8994329	9236606	Arhgap42	0	-	Non_Target_Long_Genes
chr3	62248264	62369642	Arhgef26	0	+	Non_Target_Long_Genes
chr1	86085019	86204419	Armc9	0	+	Non_Target_Long_Genes
chr19	45805802	45984427	Armh3	0	-	Non_Target_Long_Genes
chr14	49913408	50018340	Armh4	0	-	Non_Target_Long_Genes
chr13	93910637	94079524	Arsb	0	+	Non_Target_Long_Genes
chr11	30837915	31051333	Asb3	0	+	Non_Target_Long_Genes
chr10	50471264	50727581	Ascc3	0	+	Non_Target_Long_Genes
chr4	9449078	9666662	Asph	0	-	Non_Target_Long_Genes
chr7	129996287	130118691	Ate1	0	-	Non_Target_Long_Genes
chr1	170532242	170692840	Atf6	0	-	Non_Target_Long_Genes
chr13	91083474	91369587	Atg10	0	-	Non_Target_Long_Genes
chr9	105288561	105395956	Atp2c1	0	-	Non_Target_Long_Genes
chr5	67775482	68002277	Atp8a1	0	-	Non_Target_Long_Genes
chr14	8366255	8472256	Atxn7	0	-	Non_Target_Long_Genes
chr4	126650062	126763863	AU040320	0	+	Non_Target_Long_Genes
chr18	25304576	25600378	AW554918	0	+	Non_Target_Long_Genes
chr3	122215926	122323840	Bcar3	0	+	Non_Target_Long_Genes
chr1	106465907	106639504	Bcl2	0	-	Non_Target_Long_Genes
chr10	70758661	70993030	Bicc1	0	-	Non_Target_Long_Genes
chr9	75685145	75807592	Bmp5	0	+	Non_Target_Long_Genes
chr13	38531582	38684278	Bmp6	0	+	Non_Target_Long_Genes
chr9	23136871	23396496	Bmper	0	+	Non_Target_Long_Genes
chr3	141542896	141685525	Bmpr1b	0	-	Non_Target_Long_Genes
chr6	39580170	39699897	Braf	0	-	Non_Target_Long_Genes
chr11	85948963	86089519	Brip1	0	-	Non_Target_Long_Genes
chr14	59680929	59786352	Cab39l	0	+	Non_Target_Long_Genes
chr18	11974776	12078683	Cables1	0	+	Non_Target_Long_Genes
chr6	34577998	34752401	Cald1	0	+	Non_Target_Long_Genes
chr13	46657823	46803757	Cap2	0	+	Non_Target_Long_Genes
chr18	9312303	9447650	Ccny	0	-	Non_Target_Long_Genes
chr1	179791174	179989731	Cdc42bpa	0	+	Non_Target_Long_Genes
chr15	13028786	13171261	Cdh6	0	-	Non_Target_Long_Genes
chr2	115414696	115609249	Cdin1	0	+	Non_Target_Long_Genes
chrX	159584387	159708984	Cdkl5	0	-	Non_Target_Long_Genes
chr13	35846315	36058046	Cdyl	0	+	Non_Target_Long_Genes
chr13	49617498	49803761	Cenpp	0	-	Non_Target_Long_Genes
chr9	71533790	71676384	Cgnl1	0	-	Non_Target_Long_Genes
chr8	91557962	91781136	Chd9	0	+	Non_Target_Long_Genes
chr7	62748439	62859761	Chrna7	0	-	Non_Target_Long_Genes
chrX	7025707	7182972	Clcn5	0	-	Non_Target_Long_Genes
chr16	10365702	10562742	Clec16a	0	+	Non_Target_Long_Genes
chr14	122421615	122639646	Clybl	0	+	Non_Target_Long_Genes
chr1	181183490	181286817	Cnih3	0	+	Non_Target_Long_Genes
chrX	156604431	156823790	Cnksr2	0	-	Non_Target_Long_Genes
chr4	84805045	85050158	Cntln	0	+	Non_Target_Long_Genes
chr15	91951545	92239848	Cntn1	0	+	Non_Target_Long_Genes
chr8	113299174	113609349	Cntnap4	0	+	Non_Target_Long_Genes
chr2	64918682	65066470	Cobll1	0	-	Non_Target_Long_Genes
chr12	31707367	31987629	Cog5	0	+	Non_Target_Long_Genes
chr4	47210660	47313167	Col15a1	0	+	Non_Target_Long_Genes
chr11	51183246	51474745	Col23a1	0	+	Non_Target_Long_Genes
chr8	11365304	11499287	Col4a2	0	+	Non_Target_Long_Genes
chrX	140260880	140472230	Col4a5	0	+	Non_Target_Long_Genes
chr2	27778936	27929526	Col5a1	0	+	Non_Target_Long_Genes
chr1	45413480	45539942	Col5a2	0	-	Non_Target_Long_Genes
chr18	9710094	9882644	Colec12	0	+	Non_Target_Long_Genes
chr6	30747552	30871174	Copg2	0	-	Non_Target_Long_Genes
chr16	11621584	11724787	Cpped1	0	-	Non_Target_Long_Genes
chr6	37304189	37416581	Creb3l2	0	-	Non_Target_Long_Genes
chr12	36434017	36739443	Crppa	0	+	Non_Target_Long_Genes
chr14	57512449	57633486	Cryl1	0	-	Non_Target_Long_Genes
chr2	91108174	91272487	Cstpp1	0	-	Non_Target_Long_Genes
chrX	161687127	161815504	Ctps2	0	+	Non_Target_Long_Genes
chr13	104767647	104950961	Cwc27	0	-	Non_Target_Long_Genes
chr3	18126113	18295002	Cyp7b1	0	-	Non_Target_Long_Genes
chr1	165156266	165285534	Dcaf6	0	-	Non_Target_Long_Genes
chr1	169799875	169935630	Ddr2	0	-	Non_Target_Long_Genes
chr1	138893946	139103781	Dennd1b	0	+	Non_Target_Long_Genes
chrX	128653053	129361946	Diaph2	0	+	Non_Target_Long_Genes
chr1	86634040	86977817	Dis3l2	0	+	Non_Target_Long_Genes
chr1	182867829	183000549	Disp1	0	-	Non_Target_Long_Genes
chr8	37037402	37417096	Dlc1	0	-	Non_Target_Long_Genes
chrX	81995008	84249747	Dmd	0	+	Non_Target_Long_Genes
chrX	35154984	35340215	Dock11	0	+	Non_Target_Long_Genes
chr2	114347124	114482868	Dph6	0	-	Non_Target_Long_Genes
chr14	67040312	67145910	Dpysl2	0	-	Non_Target_Long_Genes
chr18	43454048	43568851	Dpysl3	0	-	Non_Target_Long_Genes
chr12	3624890	3831398	Dtnb	0	+	Non_Target_Long_Genes
chr6	5728262	6028030	Dync1i1	0	+	Non_Target_Long_Genes
chr6	88234315	88421021	Eefsec	0	-	Non_Target_Long_Genes
chr15	7236058	7425332	Egflam	0	-	Non_Target_Long_Genes
chr12	28804301	28919864	Eipr1	0	+	Non_Target_Long_Genes
chr14	79721133	79819934	Elf1	0	+	Non_Target_Long_Genes
chr17	83660859	83787786	Eml4	0	+	Non_Target_Long_Genes
chrX	48099379	48360041	Enox2	0	-	Non_Target_Long_Genes
chr19	40603340	40728238	Entpd1	0	+	Non_Target_Long_Genes
chr10	25238195	25399413	Epb41l2	0	+	Non_Target_Long_Genes
chr17	69466352	69596984	Epb41l3	0	+	Non_Target_Long_Genes
chr6	137454242	137623783	Eps8	0	-	Non_Target_Long_Genes
chr13	103956114	104054303	Erbin	0	-	Non_Target_Long_Genes
chr2	20297223	20815346	Etl4	0	+	Non_Target_Long_Genes
chr9	32550043	32666290	Ets1	0	+	Non_Target_Long_Genes
chr5	107892660	108020473	Evi5	0	-	Non_Target_Long_Genes
chr13	30997901	31131781	Exoc2	0	-	Non_Target_Long_Genes
chr10	22981367	23223534	Eya4	0	-	Non_Target_Long_Genes
chr13	63459568	63577039	Fancc	0	-	Non_Target_Long_Genes
chr1	93442300	93549698	Farp2	0	+	Non_Target_Long_Genes
chr2	125142546	125347413	Fbn1	0	-	Non_Target_Long_Genes
chr18	58141694	58341059	Fbn2	0	-	Non_Target_Long_Genes
chr3	84725074	84886505	Fbxw7	0	+	Non_Target_Long_Genes
chr7	100760439	100933612	Fchsd2	0	+	Non_Target_Long_Genes
chr4	95448243	95815176	Fggy	0	+	Non_Target_Long_Genes
chr9	32333499	32450391	Fli1	0	-	Non_Target_Long_Genes
chr14	72775385	72944943	Fndc3a	0	-	Non_Target_Long_Genes
chr4	88015366	88329243	Focad	0	+	Non_Target_Long_Genes
chr5	96524313	96932587	Fras1	0	+	Non_Target_Long_Genes
chr2	117960904	118084937	Fsip1	0	-	Non_Target_Long_Genes
chr3	75984076	76617326	Fstl5	0	+	Non_Target_Long_Genes
chr4	25609331	25797646	Fut9	0	-	Non_Target_Long_Genes
chr5	71114939	71250692	Gabra2	0	-	Non_Target_Long_Genes
chr2	125710526	125825507	Galk2	0	+	Non_Target_Long_Genes
chr17	73800222	74014946	Galnt14	0	-	Non_Target_Long_Genes
chr7	51531297	51644206	Gas2	0	+	Non_Target_Long_Genes
chr13	41015729	41114363	Gcnt2	0	+	Non_Target_Long_Genes
chrX	163912012	164107889	Glra2	0	-	Non_Target_Long_Genes
chr1	41823467	41978720	Gm29260	0	+	Non_Target_Long_Genes
chr13	32003561	32520223	Gmds	0	-	Non_Target_Long_Genes
chr1	186950207	187083624	Gpatch2	0	+	Non_Target_Long_Genes
chrX	51361302	51700298	Gpc3	0	-	Non_Target_Long_Genes
chrX	51141897	51251629	Gpc4	0	-	Non_Target_Long_Genes
chr2	57130808	57260731	Gpd2	0	+	Non_Target_Long_Genes
chr8	55410377	55513906	Gpm6a	0	+	Non_Target_Long_Genes
chr18	56535946	56636637	Gramd2b	0	+	Non_Target_Long_Genes
chr2	64742819	64850626	Grb14	0	-	Non_Target_Long_Genes
chrX	40492680	40767478	Gria3	0	+	Non_Target_Long_Genes
chr7	125477591	125679083	Gsg1l	0	-	Non_Target_Long_Genes
chr3	132687512	132795086	Gstcd	0	-	Non_Target_Long_Genes
chr1	44593352	44828034	Gulp1	0	+	Non_Target_Long_Genes
chrX	101328244	101546465	Hdac8	0	-	Non_Target_Long_Genes
chr9	75924636	76043632	Hmgcll1	0	+	Non_Target_Long_Genes
chr4	137198613	137297940	Hspg2	0	+	Non_Target_Long_Genes
chrX	145748009	145980273	Htr2c	0	+	Non_Target_Long_Genes
chr7	138971525	139159568	Inpp5a	0	+	Non_Target_Long_Genes
chr8	3200921	3327117	Insr	0	-	Non_Target_Long_Genes
chr8	47195266	47300493	Irf2	0	+	Non_Target_Long_Genes
chr13	115089631	115236000	Itga1	0	-	Non_Target_Long_Genes
chr9	118438257	118730071	Itga9	0	+	Non_Target_Long_Genes
chr5	123008727	123124662	Kdm2b	0	-	Non_Target_Long_Genes
chrX	18031313	18146175	Kdm6a	0	+	Non_Target_Long_Genes
chr14	64892550	65047066	Kif13b	0	+	Non_Target_Long_Genes
chr2	146700283	146812017	Kiz	0	+	Non_Target_Long_Genes
chr4	24612553	24848624	Klhl32	0	-	Non_Target_Long_Genes
chr10	38844010	38986184	Lama4	0	+	Non_Target_Long_Genes
chr1	153094667	153206032	Lamc1	0	-	Non_Target_Long_Genes
chr13	94196803	94331917	Lhfpl2	0	+	Non_Target_Long_Genes
chr5	29434799	29580882	Lmbr1	0	-	Non_Target_Long_Genes
chr1	167519625	167676310	Lmx1a	0	+	Non_Target_Long_Genes
chr4	3680614	3791613	Lyn	0	+	Non_Target_Long_Genes
chr19	7036677	7175422	Macrod1	0	+	Non_Target_Long_Genes
chr10	53783539	53950205	Man1a	0	-	Non_Target_Long_Genes
chr4	134289000	134429101	Man1c1	0	-	Non_Target_Long_Genes
chr9	63071049	63282684	Map2k5	0	-	Non_Target_Long_Genes
chr16	21615595	21752189	Map3k13	0	+	Non_Target_Long_Genes
chr2	34299694	34514961	Mapkap1	0	+	Non_Target_Long_Genes
chr4	116163958	116318971	Mast2	0	-	Non_Target_Long_Genes
chr7	66880910	67020106	Mef2a	0	-	Non_Target_Long_Genes
chr13	83654858	83815197	Mef2c	0	+	Non_Target_Long_Genes
chr18	57268661	57430539	Megf10	0	+	Non_Target_Long_Genes
chr4	154257686	154360170	Megf6	0	+	Non_Target_Long_Genes
chr2	108922641	109106135	Mettl15	0	-	Non_Target_Long_Genes
chr7	136498842	136731995	Mgmt	0	+	Non_Target_Long_Genes
chr6	55182867	55297207	Mindy4	0	+	Non_Target_Long_Genes
chr12	57331458	57513827	Mipol1	0	+	Non_Target_Long_Genes
chr2	18062547	18217198	Mllt10	0	+	Non_Target_Long_Genes
chr4	24498950	24602950	Mms22l	0	+	Non_Target_Long_Genes
chr12	73172990	73320762	Mnat1	0	+	Non_Target_Long_Genes
chr4	81197837	81358381	Mpdz	0	-	Non_Target_Long_Genes
chr10	120617000	120732506	Msrb3	0	-	Non_Target_Long_Genes
chr10	3925630	4117081	Mthfd1l	0	+	Non_Target_Long_Genes
chr8	41443950	41584263	Mtus1	0	-	Non_Target_Long_Genes
chr15	25625110	25813759	Myo10	0	+	Non_Target_Long_Genes
chr8	10206467	10684742	Myo16	0	+	Non_Target_Long_Genes
chr1	51789152	51952587	Myo1b	0	-	Non_Target_Long_Genes
chr9	70117149	70307048	Myo1e	0	+	Non_Target_Long_Genes
chr15	37366418	37790177	Ncald	0	-	Non_Target_Long_Genes
chr10	30519463	30645437	Ncoa7	0	-	Non_Target_Long_Genes
chr13	108189122	108292657	Ndufaf2	0	-	Non_Target_Long_Genes
chr13	114424330	114522294	Ndufs4	0	-	Non_Target_Long_Genes
chr13	41463056	41638269	Nedd9	0	-	Non_Target_Long_Genes
chr9	105039354	105270223	Nek11	0	-	Non_Target_Long_Genes
chr1	138410612	138544987	Nek7	0	-	Non_Target_Long_Genes
chr10	18197232	18407721	Nhsl1	0	+	Non_Target_Long_Genes
chr1	164137740	164264869	Nme7	0	+	Non_Target_Long_Genes
chr19	46876266	47001092	Nt5c2	0	-	Non_Target_Long_Genes
chr10	34179604	34292048	Nt5dc1	0	-	Non_Target_Long_Genes
chr10	93479410	93583069	Ntn4	0	+	Non_Target_Long_Genes
chr8	94943728	95041694	Nup93	0	+	Non_Target_Long_Genes
chr18	12888370	13072398	Osbpl1a	0	-	Non_Target_Long_Genes
chr15	41313377	41724444	Oxr1	0	+	Non_Target_Long_Genes
chr16	25778037	25922034	P3h2	0	-	Non_Target_Long_Genes
chr17	10621940	11056698	Pacrg	0	-	Non_Target_Long_Genes
chr5	147369762	147485306	Pan3	0	+	Non_Target_Long_Genes
chr1	61680482	62681443	Pard3b	0	+	Non_Target_Long_Genes
chr5	91667973	91774753	Parm1	0	+	Non_Target_Long_Genes
chr16	13355823	13483534	Parn	0	-	Non_Target_Long_Genes
chr13	116991355	117159558	Parp8	0	-	Non_Target_Long_Genes
chr7	112029412	112190899	Parva	0	+	Non_Target_Long_Genes
chr14	122774250	123127356	Pcca	0	+	Non_Target_Long_Genes
chr7	65514276	65700134	Pcsk6	0	+	Non_Target_Long_Genes
chr19	4562999	4671780	Pcx	0	+	Non_Target_Long_Genes
chr3	97597180	97793523	Pde4dip	0	-	Non_Target_Long_Genes
chr7	80865843	80984281	Pde8a	0	+	Non_Target_Long_Genes
chr3	80946222	81121347	Pdgfc	0	+	Non_Target_Long_Genes
chr3	141948440	142095069	Pdlim5	0	-	Non_Target_Long_Genes
